Product Name,Total number of comments (backer only),Number of Negative Comment,Number of Neutral Comment,Number of Positive Comment,% of Negative Comment,% of Neutral Comment,% of Positive Comment,Overall Score,Number of creator comment
voices-for-biodiversity,0,0,0,0,0,0,0,0,0
naked-0,17,0,0,17,0,0,1,0.826029412,0
the-oscilloscope-clock-iv-analog-version-for-large,1,0,0,1,0,0,1,0.3781,2
knasa-chef-knife-inspired-by-nasa-patented-technol,28,7,4,17,0.25,0.14,0.61,0.176154167,15
dusty-brush-the-new-way-to-clean-0,41,13,12,16,0.32,0.29,0.39,0.055469309,0
quadbot-real-robotics-made-accessible,27,4,1,22,0.15,0.04,0.81,0.295745398,0
rule-massively-multiplayer-real-time-strategy-game,0,0,0,0,0,0,0,0,0
hacker-garage-40-un-mejor-hackerspace-para-creador,8,0,6,2,0,0.75,0.25,0.16345,0
how-to-be-a-magician,26,13,1,12,0.5,0.04,0.46,0.08363656,0
perfect-cookware-for-everyone-handcrafted-in-the-u,24,4,4,16,0.17,0.17,0.67,0.374240741,0
the-contractors-website-and-concept-art,3,0,0,3,0,0,1,0.617933333,0
sparkr-and-sparkr-mini,21,7,0,14,0.33,0,0.67,0.158330827,0
omnos-512-soundbar-affordable-3d-sound-for-home-th,20,3,4,13,0.15,0.2,0.65,0.105496167,0
the-spontaneous-pop-up-display-spud,17,0,5,12,0,0.29,0.71,0.449710896,0
anew-you-style-journal-life-changing-results-in-12,0,0,0,0,0,0,0,0,0
brondell-swash-intelligent-electronic-bidet-toilet,22,3,2,17,0.14,0.09,0.77,0.522135281,0
jeans-with-a-side-panel-for-the-perfect-fit,6,1,1,4,0.17,0.17,0.67,0.1470875,0
rmour-silver-case-for-your-iphone-7-and-7-plus,19,3,4,12,0.16,0.21,0.63,0.286172281,0
coolbag-gen2-anti-theft-recreational-travel-bag-wi,12,1,0,11,0.08,0,0.92,0.533405556,12
ko8-pro-the-evolution-of-functional-fitness,17,0,1,16,0,0.06,0.94,0.635338889,8
gir-ladle-and-spoonula,25,3,1,21,0.12,0.04,0.84,0.518751917,0
odyssey-the-next-generation-science-game,26,2,3,21,0.08,0.12,0.81,0.541173077,0
nimble-sense-bring-your-hands-into-virtual-reality,19,4,3,12,0.21,0.16,0.63,0.230825911,0
riftmax-theater,12,0,2,10,0,0.17,0.83,0.66259375,0
font-awesome-5,39,10,9,20,0.26,0.23,0.51,0.089068559,0
pokito,37,15,8,14,0.41,0.22,0.38,0.040132703,1
dialect-a-game-about-language-and-how-it-dies,26,3,5,18,0.12,0.19,0.69,0.373168498,0
monsterhearts-2,32,1,4,27,0.03,0.12,0.84,0.499742708,4
qi-aerista-the-ultimate-wi-fi-enabled-smart-tea-ma,28,8,3,17,0.29,0.11,0.61,0.264298993,0
k-board-pro-4-smart-fabric-keyboard,18,1,5,12,0.06,0.28,0.67,0.393325811,0
hudify-a-transparent-gps-that-keeps-your-eyes-on-t,24,6,5,13,0.25,0.21,0.54,0.135981716,0
vinci-first-smart-3d-headphones-that-understand-yo,21,6,1,14,0.29,0.05,0.67,0.18347328,0
bixi-control-any-smart-device-by-simply-waving-you,24,6,4,14,0.25,0.17,0.58,0.236498785,0
2nd-generation-magbak-protect-your-phone-mount-it,40,14,5,21,0.35,0.12,0.53,0.146153542,0
flowmotion-smartphone-stabilizer-the-end-of-shaky,22,7,2,13,0.32,0.09,0.59,0.197096169,0
sevenhugs-smart-remote-the-first-remote-for-everyt,28,6,6,16,0.21,0.21,0.57,0.220623639,0
the-wolfe-supercharge-your-laptop,31,8,7,16,0.26,0.23,0.52,0.133444785,0
dashbot-a-49-robot-for-your-dashboard,20,5,1,14,0.25,0.05,0.7,0.334764571,0
your-everyday-light-for-any-lifestyle,35,5,4,26,0.14,0.11,0.74,0.321854762,0
foldscope-the-origami-paper-microscope,38,7,4,27,0.18,0.11,0.71,0.329564035,0
ad-free-indie-mobile-quiz-games,0,0,0,0,0,0,0,0,0
geareye-the-ultimate-gear-management-system,31,8,11,12,0.26,0.35,0.39,0.103143333,0
vimble-s-never-capture-a-shaky-video-again,32,12,5,15,0.38,0.16,0.47,0.104075,0
snapnator-your-macbook-snap-feature-is-back,34,12,7,15,0.35,0.21,0.44,0.102408088,0
ae-modular-a-modular-synthesizer-for-everyone,17,0,0,17,0,0,1,0.627993464,0
airblock-the-modular-and-programmable-starter-dron,17,6,5,6,0.35,0.29,0.35,0.002041978,0
vue-your-everyday-smart-glasses,45,16,4,25,0.36,0.09,0.56,0.201370741,0
krossblade-skyprowler-multi-mission-vtol-transform,16,0,2,14,0,0.12,0.88,0.409336607,0
world-of-myrr-adventure-modules-and-handbook-for-5,9,2,2,5,0.22,0.22,0.56,0.363261111,0
limitless-encounters-vol-1,28,7,2,19,0.25,0.07,0.68,0.270092679,0
freedrum-the-drumkit-that-fits-in-your-pocket,27,3,5,19,0.11,0.19,0.7,0.294977378,0
square-off-worlds-smartest-chess-board-relaunched,25,8,2,15,0.32,0.08,0.6,0.280980133,0
quackup-quackup-attack-video-game-for-windows-and,4,0,3,1,0,0.75,0.25,0.189075,0
the-harlan-ellison-books-preservation-project,35,1,2,32,0.03,0.06,0.91,0.66085978,0
visions-of-a-thousand-eyes-the-ultimate-fantasy-ar,30,9,6,15,0.3,0.2,0.5,0.121028,0
txture-new-workshop-to-revive-prehispanic-woven-fu,5,0,1,4,0,0.2,0.8,0.707955,0
kingdom-death-monster-15,36,10,8,18,0.28,0.22,0.5,0.036532639,0
betterback-therapy-improve-posture-back-pain,27,6,6,15,0.22,0.22,0.56,0.25432091,0
helios-touch-modular-lighting-system,31,11,7,13,0.35,0.23,0.42,0.067924301,0
adventure-mat-a-clean-surface-wherever-you-go,21,1,3,17,0.05,0.14,0.81,0.489666558,0
fin-a-vibrator-for-fingers,37,14,4,19,0.38,0.11,0.51,0.116758559,0
ab-blaster-the-most-complete-core-fitness-workout,20,4,5,11,0.2,0.25,0.55,0.3039675,7
watson-the-backpack-for-uncompromising-professiona,19,2,3,14,0.11,0.16,0.74,0.435420993,0
vinco-wallet-the-profoundly-thin-veg-tan-card-slee,11,3,1,7,0.27,0.09,0.64,0.250788636,0
el-dorado-maya-playing-cards-relaunch,19,1,4,14,0.05,0.21,0.74,0.322966316,0
armed-forces-playing-cards,8,1,0,7,0.12,0,0.88,0.45266875,0
divine-art-playing-cards-limited-edition,15,2,0,13,0.13,0,0.87,0.59702,5
chronos-14-high-speed-camera,15,1,0,14,0.07,0,0.93,0.451837442,0
evercube-lifetime-toothbrush-holder-and-multipurpo,23,3,4,16,0.13,0.17,0.7,0.320065942,0
yokai-quest,28,5,5,18,0.18,0.18,0.64,0.275211097,0
parkis-space-saving-bicycle-lift,11,1,3,7,0.09,0.27,0.64,0.239365368,0
inflatable-waterproof-anti-shock-capsula-backpack,24,7,4,13,0.29,0.17,0.54,0.122713889,0
stealth-get-ripped-abs-by-playing-games-on-your-sm,33,3,6,24,0.09,0.18,0.73,0.377166582,0
bear-soles-the-warmest-choice-this-winter,31,2,1,28,0.06,0.03,0.9,0.604064158,0
grippz-mats-the-worlds-first-acupressure-yoga-mat,32,18,2,12,0.56,0.06,0.38,-0.064760625,0
fotric-123-cloud-based-thermal-camera-for-early-fi,20,0,0,20,0,0,1,0.618575614,0
wirebutter-smart-powerboard,22,5,2,15,0.23,0.09,0.68,0.190488295,1
bluetooth-smart-pen-20-exceptional-quality-and-val,19,6,1,12,0.32,0.05,0.63,0.293499267,0
repour-smart-stopper,26,5,6,15,0.19,0.23,0.58,0.278059615,0
swankytm-the-floating-ladle,31,3,11,17,0.1,0.35,0.55,0.24811371,0
dash-access-bifold-wallet,30,12,3,15,0.4,0.1,0.5,0.037783333,0
audio-game-hub-keep-your-ears-wide-open,13,1,2,10,0.08,0.15,0.77,0.473831987,0
lee-knife-the-best-kitchen-knife-on-earth,17,6,4,7,0.35,0.24,0.41,0.165890152,0
swindon-fringe-festival-2017,0,0,0,0,0,0,0,0,0
idockall-2-true-one-hand-undocking-with-a-twist,14,2,2,10,0.14,0.14,0.71,0.34216881,0
colaboracion-no1-aluxes,6,0,0,6,0,0,1,0.686445,0
the-station-a-first-person-exploration-story-drive,22,2,4,16,0.09,0.18,0.73,0.383611694,0
king-lear,1,0,0,1,0,0,1,0.6688,0
krysala-birth,5,0,2,3,0,0.4,0.6,0.36505,0
xlp-dice-v20,28,2,4,22,0.07,0.14,0.79,0.479624957,0
lil-bunny-sue-roux-on-two-the-adopted-two-legged-b,20,4,5,11,0.2,0.25,0.55,0.172625,0
pod-portable-power-on-demand,9,0,2,7,0,0.22,0.78,0.311139418,0
the-journeyman-series-handcrafted-mechanical-watch,7,0,1,6,0,0.14,0.86,0.435259524,0
objects-of-celebration,4,0,0,4,0,0,1,0.82135,0
studio-ceramica-we-need-wheels,6,0,0,6,0,0,1,0.538566667,0
morpheus-delta-fine-quality-resin-3d-printer-at-fd,23,3,7,13,0.13,0.3,0.57,0.149996574,0
political-fables-for-unsweet-dreams,8,1,1,6,0.12,0.12,0.75,0.336089583,0
five-minutes-for-art-a-coloring-book-from-peter-si,4,0,0,4,0,0,1,0.6543875,0
man-vs-meeple,28,6,7,15,0.21,0.25,0.54,0.123614286,0
5-minute-dungeon-the-most-fun-you-can-have-in-5-mi,23,1,2,20,0.04,0.09,0.87,0.61707078,0
chocamo-cookie-cups-sip-bite-feed-your-soul,7,0,1,6,0,0.14,0.86,0.587171429,0
chip-smart-cookie-ovenfresh-cookies-in-under-10-mi,20,4,3,13,0.2,0.15,0.65,0.250628548,0
destiny-aurora-renegades-miniatures-board-game,21,5,2,14,0.24,0.1,0.67,0.229668498,0
oak-turn-your-tabletop-into-an-augmented-reality-p,5,1,0,4,0.2,0,0.8,0.521942667,0
pocketlab-voyager-explore-science-in-your-world,25,6,1,18,0.24,0.04,0.72,0.399029667,0
this-defiant-earth-1950s-sci-fi-movie-roleplaying,18,2,6,10,0.11,0.33,0.56,0.181626795,0
vaxcards-a-game-of-infectious-disease-and-fun,26,2,4,20,0.08,0.15,0.77,0.382223109,0
bitten-a-5-minute-game-of-survival-in-the-zombie-a,31,5,8,18,0.16,0.26,0.58,0.20540224,0
not-profit-record-label,0,0,0,0,0,0,0,0,0
the-red-dragon-inn-6-villains,33,6,6,21,0.18,0.18,0.64,0.225523737,0
papercuts-a-party-game-for-the-rude-and-well-read,21,2,1,18,0.1,0.05,0.86,0.462744444,0
hp-lovecraft-cthulhu-mythos-the-great-old-ones-ii,9,1,0,8,0.11,0,0.89,0.447956734,0
ohhio-braid-unique-craft-material-for-chunky-creat,22,4,4,14,0.18,0.18,0.64,0.210054356,0
kyotomoji-box-your-life,28,8,3,17,0.29,0.11,0.61,0.15992119,0
brimstone,30,1,3,26,0.03,0.1,0.87,0.559367333,0
aubergine-pillow-comfort-in-just-a-puff,23,2,4,17,0.09,0.17,0.74,0.479388527,0
odin2-smart-projector-for-movies-video-calls-and-a,27,7,2,18,0.26,0.07,0.67,0.163375988,0
xube-streamline-your-shower-experience-on-the-go,24,4,6,14,0.17,0.25,0.58,0.299805804,0
smart-3d-printing-system-to-create-your-message-ri,0,0,0,0,0,0,0,0,0
guppy-friend-washing-bag,22,2,4,16,0.09,0.18,0.73,0.314114773,0
pomo-waffle-smartwatch-for-kids-independence-and-c,20,7,3,10,0.35,0.15,0.5,0.055698536,0
kobold-press-bestiary-a-collection-of-fantasy-mini,19,2,5,12,0.11,0.26,0.63,0.263232456,20
piesareawesome,23,5,4,14,0.22,0.17,0.61,0.283747826,21
the-forest-dragon-card-game-by-rory,16,1,0,15,0.06,0,0.94,0.543578274,0
the-identity-card,25,5,1,19,0.2,0.04,0.76,0.366238929,0
clades-the-evolutionary-card-game,17,0,2,15,0,0.12,0.88,0.599436,0
cultists-of-the-kraken-lord,31,2,5,24,0.06,0.16,0.77,0.445065968,0
frankfurter-brett-basic-100-grossartig,34,9,5,20,0.26,0.15,0.59,0.204960686,0
gryphon-simple-safe-super-fast-wifi-for-modern-fam,19,4,4,11,0.21,0.21,0.58,0.238855418,0
love-forgive-never-give-up-a-self-empowerment-book,3,0,1,2,0,0.33,0.67,0.602766667,1
glow-an-illuminating-crystal-that-floats-in-mid-ai,29,4,9,16,0.14,0.31,0.55,0.097867299,0
morris-the-reversible-fish,35,5,4,26,0.14,0.11,0.74,0.409340952,7
jive-tws-earbuds-pure-wire-less-audio,31,13,4,14,0.42,0.13,0.45,0.032823387,0
cardboard-ceramics,6,0,1,5,0,0.17,0.83,0.67205,0
hooked-0,4,0,3,1,0,0.75,0.25,0.224425,0
test-cups,1,0,0,1,0,0,1,0.923,0
gripster-interior-bicycle-storage-made-simple,7,0,0,7,0,0,1,0.516864286,1
yellowstone-wolf-genealogy-online,4,0,0,4,0,0,1,0.922775,0
sence-the-evolution-of-mindfulness-and-productivit,26,3,5,18,0.12,0.19,0.69,0.33552297,0
trapmats-the-worlds-first-easy-clean-dual-car-mats,42,5,19,18,0.12,0.45,0.43,0.169253175,0
new-space-plus-returned-ess-sabre32-dsd-dxd-dac,12,2,1,9,0.17,0.08,0.75,0.213100463,0
talkimate-the-stylish-accessory-for-smartphone-wal,3,0,0,3,0,0,1,0.576333333,0
enamel-pins-wicked-trio,4,0,0,4,0,0,1,0.67965,0
huberton-genuine-leather-slim-wallets,25,4,4,17,0.16,0.16,0.68,0.311973128,0
save-and-clear-up-the-world-transforming-junk-into,3,0,0,3,0,0,1,0.6471,0
i-extruder-smart-solder-paste-and-fluids-dispenser,15,5,1,9,0.33,0.07,0.6,0.245418289,0
zapbox-experience-mixed-reality-for-just-30,25,3,6,16,0.12,0.24,0.64,0.418384121,0
ravean-van-tour-and-loyalty-program,4,0,1,3,0,0.25,0.75,0.55515,0
monkey-business,24,0,0,24,0,0,1,0.660021925,0
ostrich-pillow-go-maximum-comfort-sleep-for-all-ne,25,2,5,18,0.08,0.2,0.72,0.453303478,0
super-powers-for-every-girl-book-and-cards,2,1,1,0,0.5,0.5,0,-0.39525,0
impressions-cardinal-ed-playing-cards,44,4,9,31,0.09,0.2,0.7,0.438972348,0
taking-over-shakespeare,1,0,0,1,0,0,1,0.8409,0
new-york-show-of-limited-edition-hand-pulled-scree,1,0,0,1,0,0,1,0.81245,0
sentinel-3d-printer-filament-detector-and-cleaner,16,4,2,10,0.25,0.12,0.62,0.297807008,0
re-arm-for-ramps-simple-32-bit-upgrade,22,11,4,7,0.5,0.18,0.32,-0.060675027,1
ez-2c-3d-viewer-1,0,0,0,0,0,0,0,0,0
d3-the-first-real-three-sided-dice,26,2,5,19,0.08,0.19,0.73,0.390314915,0
apocalypse-frenzy,6,0,1,5,0,0.17,0.83,0.350916528,0
affordable-dlp-3d-printer-amazing-2k-resolution,12,5,1,6,0.42,0.08,0.5,0.130904306,0
macromat-miniature-photo-backdrops,21,2,2,17,0.1,0.1,0.81,0.497935357,0
darkroom-secrets,20,4,6,10,0.2,0.3,0.5,0.113645,0
multibru-a-versatile-manual-brewer-for-coffee-and,24,1,2,21,0.04,0.08,0.88,0.588924306,12
redundant-clock,22,6,6,10,0.27,0.27,0.45,0.230472727,12
the-bike-hanger-20-beautiful-bicycle-storage,8,1,1,6,0.12,0.12,0.75,0.34194375,0
trinken-the-ultimate-stealth-koozie-redesigned,26,3,10,13,0.12,0.38,0.5,0.13589449,0
redefining-italian-luxury-watches-filippo-loreti,20,5,6,9,0.25,0.3,0.45,0.162464383,0
the-heimplanet-motion-series-active-backpacks,25,4,1,20,0.16,0.04,0.8,0.344306643,0
everlast,33,10,6,17,0.3,0.18,0.52,0.230517965,0
3dtotal-anatomy-reference-extended-collection,20,2,1,17,0.1,0.05,0.85,0.34670131,0
flippr-the-ironing-board-that-saves-80-of-your-tim,25,13,1,11,0.52,0.04,0.44,0.087740267,0
music-cloth,2,0,1,1,0,0.5,0.5,0.3494,0
tuck-the-ultimate-comfort-companion,26,7,5,14,0.27,0.19,0.54,0.213529231,0
taps-touchscreen-sticker-w-touch-id-ships-before-x,40,14,7,19,0.35,0.17,0.47,0.048830833,3
illuminate-your-helmet-lightmode-kits-redesigned,22,6,3,13,0.27,0.14,0.59,0.18820089,0
pi3cart-nes-cartridge-case-for-raspberry-pi-3,23,3,4,16,0.13,0.17,0.7,0.262558282,1
phonster-x-the-best-phone-holster-is-back-on-kicks,25,11,3,11,0.44,0.12,0.44,0.008818819,0
usp-mkii-atmel-programmer,20,9,9,2,0.45,0.45,0.1,-0.136515417,0
dwar7s-fall,30,4,8,18,0.13,0.27,0.6,0.238064222,0
a-profound-waste-of-time-a-gaming-magazine,25,0,3,22,0,0.12,0.88,0.5492884,0
shamrockwalletstm-the-perfect-slim-leather-wallets,35,13,6,16,0.37,0.17,0.46,0.116059762,0
boldr-watches-voyage-sleek-design-meets-smart-func,30,2,9,19,0.07,0.3,0.63,0.364001475,0
agony,37,10,9,18,0.27,0.24,0.49,0.105695045,0
moti-your-smart-companion-for-better-habits,22,2,0,20,0.09,0,0.91,0.607730303,1
superbear-art-te-d30-and-r2-bear-2-stickers-t-shir,4,1,0,3,0.25,0,0.75,0.526308333,0
scribble-a-revolutionary-pen-that-draws-in-any-col,22,8,1,13,0.36,0.05,0.59,0.117422857,0
feudum-a-nuanced-game-of-hand-and-resource-managem,34,11,5,18,0.32,0.15,0.53,0.110934804,6
fantasy-maps-the-shops-12-shops-for-your-town,13,1,1,11,0.08,0.08,0.85,0.368300321,0
wonder-wires-charge-your-cell-save-files-and-trans,20,10,2,8,0.5,0.1,0.4,-0.011363583,0
gina-smart-coffee-instrument-by-goat-story,19,5,3,11,0.26,0.16,0.58,0.209393029,0
noomoon-add-the-swiss-touch-to-your-apple-watch,21,6,4,11,0.29,0.19,0.52,0.23642754,0
codename-colossus-mki-cyclops-electronic-walking-m,7,1,0,6,0.14,0,0.86,0.528735714,0
tales-from-the-loop-roleplaying-in-the-80s-that-ne,23,1,4,18,0.04,0.17,0.78,0.470670531,0
wobbly-peyote-a-cactus-themed-desktop-toy,7,0,0,7,0,0,1,0.846071429,0
duo-mount-highly-compatible-and-durable-bike-mount,36,6,9,21,0.17,0.25,0.58,0.221223765,0
furniture-from-a-different-dimension,20,1,4,15,0.05,0.2,0.75,0.322508083,0
you-deserve-better-coffee-make-it-now-with-the-arc,40,11,5,24,0.28,0.12,0.6,0.188214167,0
the-mathematical-bridge,15,0,4,11,0,0.27,0.73,0.44581,0
banishment,17,2,1,14,0.12,0.06,0.82,0.350697958,0
dammerlicht-fantasy-game-based-on-the-many-worlds,15,0,2,13,0,0.13,0.87,0.73176,0
cthulhu-crusades,21,2,5,14,0.1,0.24,0.67,0.386254631,0
shadowscape,28,5,3,20,0.18,0.11,0.71,0.3712904,0
the-orcish-english-dictionary-2nd-edition,22,4,4,14,0.18,0.18,0.64,0.296567441,0
the-shorter-catechism-deck,12,0,3,9,0,0.25,0.75,0.459770833,0
tio-connected-toys-and-inventions-anyone-can-creat,14,1,0,13,0.07,0,0.93,0.646661905,0
ai-war-ii-0,8,0,3,5,0,0.38,0.62,0.110263462,0
relieve-neck-pain-get-weight-off-your-shoulder-w-c,40,15,10,15,0.38,0.25,0.38,0.02928375,0
rest-your-discs-relieve-pain-and-strengthen-with-d,22,7,2,13,0.32,0.09,0.59,0.128802045,0
dreamwars-steampunk-horror-board-game,17,2,1,14,0.12,0.06,0.82,0.460038203,0
ninja-bees-the-card-game,5,0,1,4,0,0.2,0.8,0.31077,4
galactic-coliseum,24,3,5,16,0.12,0.21,0.67,0.424671101,0
the-bird-told-me-to-do-it,23,4,5,14,0.17,0.22,0.61,0.257564576,0
zac-voice-control-your-home-with-a-raccoon-hologra,14,2,1,11,0.14,0.07,0.79,0.483494243,0
array-offgrid-a-new-generation-of-solar-backpacks,13,0,1,12,0,0.08,0.92,0.586002828,0
the-undercover,29,5,1,23,0.17,0.03,0.79,0.387428429,0
hippinie-the-multi-functional-tool-for-your-head,16,2,4,10,0.12,0.25,0.62,0.398638914,0
the-wireless-tma-2-modular-headphone-system,31,9,2,20,0.29,0.06,0.65,0.247069355,0
beautiful-italian-shoes-for-men-and-women,26,3,1,22,0.12,0.04,0.85,0.505192949,0
the-weatherneck-system-a-tactical-breakaway-balacl,24,4,5,15,0.17,0.21,0.62,0.279448264,0
solosockstm-a-sustainable-solution-to-sock-waste,24,3,8,13,0.12,0.33,0.54,0.324796131,0
baelts-the-belt-rebuilt,7,0,0,7,0,0,1,0.500535065,0
well-inked-box,7,0,1,6,0,0.14,0.86,0.585309864,0
lunowear-nature-inspired-nature-made,26,6,3,17,0.23,0.12,0.65,0.297800641,0
field-and-crew-heritage-watch-customization-on-you,15,0,3,12,0,0.2,0.8,0.397494444,0
vinted-bags-and-leather-goods-essentials-for-explo,21,0,1,20,0,0.05,0.95,0.610116071,0
mostradtm-maverick-wallet,40,15,6,19,0.38,0.15,0.47,0.118853333,0
backpacks-and-blisters-a-classic-board-game-for-th,19,1,0,18,0.05,0,0.95,0.569557895,0
skyscraper-art-deco-watch,4,0,0,4,0,0,1,0.73998,0
elemental-cubes-by-raw-0,13,5,2,6,0.38,0.15,0.46,0.083605664,2
100-carbon-fiber-case-for-iphone-4-4s-and-5,10,2,3,5,0.2,0.3,0.5,0.1273625,0
larsen-and-ross-leather-products-built-to-last-a-l,14,1,1,12,0.07,0.07,0.86,0.575426786,0
