Product Name,Total number of comments (backer only),Number of Negative Comment,Number of Neutral Comment,Number of Positive Comment,% of Negative Comment,% of Neutral Comment,% of Positive Comment,Overall Score,Number of creator comment
make-100-alcohol-ink-paintings,11,0,2,9,0,0.18,0.82,0.619172727,7
lapmonitor-multi-user-lap-timing-and-counting-syst,50,3,23,24,0.06,0.46,0.48,0.230714,0
moneymalisttm-the-business-wallet,4,1,0,3,0.25,0,0.75,0.435625,0
make100-skt-ceramics-caribou-mug,6,1,1,4,0.17,0.17,0.67,0.441716667,2
vault-magnetic-pedals-maglock-bike-pedal,50,7,17,26,0.14,0.34,0.52,0.28371,0
introducing-nexxbar-a-revolution-in-self-therapy,20,3,9,8,0.15,0.45,0.4,0.214195,0
littlearm-2c-mini-arduino-robot-arm-for-stem-and-h,41,6,6,29,0.15,0.15,0.71,0.293763415,0
invisible-courts,7,2,1,4,0.29,0.14,0.57,0.316514286,0
daebak-wallet-the-best-cash-friendly-minimalist-wa,20,2,4,14,0.1,0.2,0.7,0.36701,0
steadicam-volt-smartphone-stabilizer-shake-free-vi,50,11,9,30,0.22,0.18,0.6,0.255342,0
eaglebreaker-the-tale-of-eaglefriendbook-2,5,0,2,3,0,0.4,0.6,0.35978,0
wallet-buddy-the-ss-multi-tool-that-fits-in-your-w,12,2,3,7,0.17,0.25,0.58,0.265091667,0
be-seduced-by-this-western-wooden-marble-maze,2,0,0,2,0,0,1,0.6533,0
the-classic-look-smart-watches-own-your-memories-n,2,0,1,1,0,0.5,0.5,0.4587,0
mirro-the-tissue-box-between-illusion-and-reality,50,6,8,36,0.12,0.16,0.72,0.39945,0
whats-your-beef-stick,3,0,1,2,0,0.33,0.67,0.254366667,1
pocketpower-a-solar-charger-fits-in-your-pocket,50,13,15,22,0.26,0.3,0.44,0.109626,0
the-grypmat-the-worlds-most-versatile-tool-mat,48,10,8,30,0.21,0.17,0.62,0.2462875,2
industrial-chalk-bags-a-work-bag-inspired-by-the-o,5,0,1,4,0,0.2,0.8,0.50352,4
catspad-the-best-smart-food-and-water-dispenser-fo,50,11,8,31,0.22,0.16,0.62,0.313456,0
hexpanse,50,7,13,30,0.14,0.26,0.6,0.32001,0
valley-of-kildar-for-5th-edition-and-other-rpg-gam,50,8,17,25,0.16,0.34,0.5,0.241462,0
shintiara-rpg-a-world-of-magic-and-time-paradoxes,31,1,11,19,0.03,0.35,0.61,0.302316129,19
100-kickstarter-dreams-the-voice-of-100-creators,16,0,9,7,0,0.56,0.44,0.31980625,0
myth-dark-frontier,50,15,9,26,0.3,0.18,0.52,0.187272,0
grrrabbit-the-sighthound-themed-card-game,2,0,1,1,0,0.5,0.5,0.28495,0
magnetic-magnificent-handmade-pens,19,0,2,17,0,0.11,0.89,0.647715789,10
pre-order-frankenstein-created-bikers,37,7,12,18,0.19,0.32,0.49,0.221202703,13
yakuza-893-comicbook,16,2,0,14,0.12,0,0.88,0.5112375,8
the-penned-guin-treasury-edition,3,0,0,3,0,0,1,0.81,0
100-flower-paintings,6,0,1,5,0,0.17,0.83,0.352266667,4
lets-have-better-conversations-about-belief,0,0,0,0,0,0,0,0,0
dunce-1-special-limited-edition,11,1,4,6,0.09,0.36,0.55,0.314981818,6
qkey-a-smart-simple-and-secure-online-experience,50,16,8,26,0.32,0.16,0.52,0.135562,0
blackout-journey-into-darkness,50,11,6,33,0.22,0.12,0.66,0.246864,0
pigsmoke-a-roleplaying-game-of-sorcerous-academia,50,11,13,26,0.22,0.26,0.52,0.157076,0
ethos-the-hoodie-reinvented,50,2,11,37,0.04,0.22,0.74,0.48827,0
spheres-of-might-a-new-pathfinder-martial-system,50,10,19,21,0.2,0.38,0.42,0.19798,0
the-foothill-dragon-press-first-ever-magazine,0,0,0,0,0,0,0,0,0
inirv-react-make-your-home-smarter-and-safer,50,5,10,35,0.1,0.2,0.7,0.40793,0
x-01-titanium-pen,50,4,8,38,0.08,0.16,0.76,0.45849,0
patches-for-the-four-horsemen-universe-and-other-b,1,0,1,0,0,1,0,0,0
gileadi-dance-co,1,0,0,1,0,0,1,0.636,0
the-great-american-farm-tour,50,0,2,48,0,0.04,0.96,0.843662,0
ufd-unidentified-flying-dog-enamel-pin,8,0,4,4,0,0.5,0.5,0.2668,0
kyle-evans-advaitin-full-length-debut-album-0,0,0,0,0,0,0,0,0,0
hexoroll-dice-redesigning-the-way-you-roll-a-dice,50,12,11,27,0.24,0.22,0.54,0.236238,0
mixstik-the-magic-stick-to-mix-perfect-cocktails,50,5,10,35,0.1,0.2,0.7,0.426224,0
100-dropped-pendant-lights,13,1,1,11,0.08,0.08,0.85,0.548761538,0
clovertons-second-full-length-album,22,0,0,22,0,0,1,0.76665,0
100-watercolor-indigo-birds,39,3,1,35,0.08,0.03,0.9,0.648592308,0
calamityware-series-1-revisited,18,0,2,16,0,0.11,0.89,0.689261111,4
everyday-birthday,45,19,9,17,0.42,0.2,0.38,-0.03254,2
day-of-the-dead-music-calaveras-vinyl-stickers,7,0,0,7,0,0,1,0.844428571,1
parashoot-20-multi-use-wearable-smart-hd-camera,50,9,7,34,0.18,0.14,0.68,0.29018,0
smart-protektor,50,9,10,31,0.18,0.2,0.62,0.233932,0
inventors-positioning-axis-8-micron-accuracy,29,5,6,18,0.17,0.21,0.62,0.372251724,0
oracles-crest-tarot-enamel-pin-collection,6,0,0,6,0,0,1,0.87535,2
lets-make-1000-finger-puppets,5,0,0,5,0,0,1,0.8209,0
insanity-3,0,0,0,0,0,0,0,0,0
evie-blender-the-worlds-first-perfect-makeup-blend,50,8,9,33,0.16,0.18,0.66,0.372324,0
vanguard-of-war-archon-studio,50,14,16,20,0.28,0.32,0.4,0.082782,0
monkey-the-roleplaying-game-of-the-journey-to-the,50,7,17,26,0.14,0.34,0.52,0.272984,0
refyne-p1-the-first-modular-titanium-edc-pen-and-f,50,12,3,35,0.24,0.06,0.7,0.291038,0
day-night-z,50,13,7,30,0.26,0.14,0.6,0.154996,0
sub-terra-a-cooperative-survival-horror-game-for-1,50,16,12,22,0.32,0.24,0.44,0.060306,0
adaptalux-studio-stabiliser,22,7,3,12,0.32,0.14,0.55,0.160313636,0
khan-of-khans-family-game,50,11,15,24,0.22,0.3,0.48,0.205916,0
x-flex-belt-most-comfortable-belt-ever,50,7,5,38,0.14,0.1,0.76,0.341874,0
orbi-kitchen-gadget-for-perfect-golden-egg,18,4,4,10,0.22,0.22,0.56,0.146905556,0
rise-of-the-beasts-series-1,50,11,11,28,0.22,0.22,0.56,0.299986,0
forgotten-corpses-canadian-horror-web-series,6,2,1,3,0.33,0.17,0.5,0.217683333,0
companion-short-film,2,0,0,2,0,0,1,0.4749,0
resisters-a-coloring-book,13,1,2,10,0.08,0.15,0.77,0.464061538,4
slow-color-a-practical-guide-to-natural-dyeing-in,8,0,1,7,0,0.12,0.88,0.4844375,0
under-an-arctic-sky-film,46,12,10,24,0.26,0.22,0.52,0.218834783,4
the-outside-children-los-ninos-exteriores,0,0,0,0,0,0,0,0,0
new-movie-the-sky-has-fallen-horror-film-with-no-c,3,0,0,3,0,0,1,0.605166667,0
beeeees,50,4,18,28,0.08,0.36,0.56,0.251936,0
cats-kill-movie,2,1,0,1,0.5,0,0.5,-0.10665,0
power-plant-organic-eggplant-jerky,40,10,8,22,0.25,0.2,0.55,0.184465,10
basic-and-advanced-breakout-boards-plus-more,15,1,3,11,0.07,0.2,0.73,0.588966667,5
procyon-podcast-network-fun-diverse-genre-fiction,0,0,0,0,0,0,0,0,0
clash-of-steel-a-tactical-card-game-of-medieval-du,50,6,9,35,0.12,0.18,0.7,0.366042,0
eat-offbeat-the-cookbook,50,3,12,35,0.06,0.24,0.7,0.39369,0
bingo-love,31,1,1,29,0.03,0.03,0.94,0.653819355,0
mars-wars,50,10,2,38,0.2,0.04,0.76,0.375962,0
878-vikings-invasions-of-england,50,13,22,15,0.26,0.44,0.3,0.027686,0
the-last-garden-robotanists-in-the-post-apocalypse,50,11,11,28,0.22,0.22,0.56,0.261428,0
cytosis-a-cell-biology-board-game,50,12,10,28,0.24,0.2,0.56,0.304744,0
pick-your-path-action-packed-micro-gaming-booklets,50,4,7,39,0.08,0.14,0.78,0.459886,0
the-grimm-forest,50,14,10,26,0.28,0.2,0.52,0.119622,0
cauldron-master-a-deduction-and-set-collection-wit,50,8,7,35,0.16,0.14,0.7,0.404706,0
toucan-play-that-game-season-2,46,2,2,42,0.04,0.04,0.91,0.589897826,0
the-private-artistbooks-of-michael-rytz,3,1,0,2,0.33,0,0.67,0.558566667,0
kings-road,50,3,11,36,0.06,0.22,0.72,0.498854,0
ultralight-electric-guitar,6,0,0,6,0,0,1,0.593816667,0
snapmaker-the-all-metal-3d-printer,50,11,12,27,0.22,0.24,0.54,0.14393,0
z-war-one,50,8,10,32,0.16,0.2,0.64,0.31582,0
mister-mushy-nor-mister-mjukis-childrens-book,25,0,0,25,0,0,1,0.853328,0
stereoscope-magazine,0,0,0,0,0,0,0,0,0
mounk-underwear-that-looks-good-and-feels-good,14,1,4,9,0.07,0.29,0.64,0.4481,0
the-lady-and-the-tiger-a-2-player-bluffing-game,50,9,7,34,0.18,0.14,0.68,0.406032,0
unlocked-the-mansion-of-mana,39,0,6,33,0,0.15,0.85,0.541358974,11
lisa-frank-makeup-collaboration,50,19,4,27,0.38,0.08,0.54,0.085386,0
superscreen,50,13,12,25,0.26,0.24,0.5,0.148048,0
pip-system-corebook-family-style-rpgs-from-third-e,36,6,9,21,0.17,0.25,0.58,0.239780556,14
magpie-goose-bold-fashion-from-the-top-end,13,1,0,12,0.08,0,0.92,0.777630769,0
the-powerverse-is-here,13,0,2,11,0,0.15,0.85,0.520953846,0
grimslingers-the-northern-territory,50,16,6,28,0.32,0.12,0.56,0.21745,0
lycan-comic-1,3,0,1,2,0,0.33,0.67,0.542,0
marbles-mag-the-indie-mental-health-magazine,1,0,0,1,0,0,1,0.8866,0
murder-most-foul-game-and-hot-sauce,50,9,15,26,0.18,0.3,0.52,0.155114,0
worth-watching,3,0,0,3,0,0,1,0.676733333,0
aeons-end-war-eternal,50,9,11,30,0.18,0.22,0.6,0.289522,0
dinosaur-island-1,50,3,13,34,0.06,0.26,0.68,0.295378,0
solstice-drafting-and-deception-for-2-4,50,9,4,37,0.18,0.08,0.74,0.36613,0
glyph-1,50,12,7,31,0.24,0.14,0.62,0.327846,0
monikers-the-shut-up-and-sit-down-nonsense-box,50,8,12,30,0.16,0.24,0.6,0.253288,0
bring-anxiety-fox-to-life,41,6,5,30,0.15,0.12,0.73,0.461826829,9
empires-of-the-void-ii,50,7,16,27,0.14,0.32,0.54,0.30318,0
divinity-derby-a-racing-and-betting-game-of-mythic,50,10,15,25,0.2,0.3,0.5,0.200346,0
dates-an-anthology-of-queer-historical-fiction-vol,37,2,6,29,0.05,0.16,0.78,0.527791892,0
baseball-highlights-2045-spring-training,50,6,21,23,0.12,0.42,0.46,0.17147,0
no-pun-included-a-board-game-review-series,50,8,10,32,0.16,0.2,0.64,0.375234,0
divercity,34,1,3,30,0.03,0.09,0.88,0.522655882,16
bram-stokers-dracula-concertina-book,48,3,5,40,0.06,0.1,0.83,0.5476375,0
if-you-give-a-geek-a-phaser-childrens-book,14,1,2,11,0.07,0.14,0.79,0.455971429,0
bounty-hunter-beauty-1,0,0,0,0,0,0,0,0,0
guard-duty-point-and-click-through-time-and-space,50,1,3,46,0.02,0.06,0.92,0.671812,0
the-chronicles-of-tampon-man-volume-1-the-red-sea,8,2,0,6,0.25,0,0.75,0.5646375,0
small-town-inertia,12,2,0,10,0.17,0,0.83,0.521308333,0
heartbound,50,10,9,31,0.2,0.18,0.62,0.285658,0
she-found-fossils-a-kids-book-about-women-in-paleo,16,2,9,5,0.12,0.56,0.31,0.1974125,0
commodore-the-inside-story,45,5,3,37,0.11,0.07,0.82,0.504753333,5
tarot-compendium,50,11,6,33,0.22,0.12,0.66,0.289158,0
headphones,50,4,11,35,0.08,0.22,0.7,0.423966,0
worlds-softest-sustainable-underwear-and-loungewea,50,7,17,26,0.14,0.34,0.52,0.220862,0
character-design-quarterly,50,10,13,27,0.2,0.26,0.54,0.22571,0
nowadays-help-us-build-our-indoor-home,28,0,4,24,0,0.14,0.86,0.580103571,0
luxortm-mini-auto-focusing-pocket-flashlight,50,19,9,22,0.38,0.18,0.44,0.08248,0
strawberry-ninja,50,10,12,28,0.2,0.24,0.56,0.292744,0
bullet-02-worlds-smallest-flashlight-even-smaller,50,16,14,20,0.32,0.28,0.4,0.031332,0
clementines-bake-shop-is-moving-to-a-storefront,0,0,0,0,0,0,0,0,0
accidental-aliens-anthology-2017,9,0,4,5,0,0.44,0.56,0.306266667,0
sustainable-protein-bars-and-powders-made-with-cri,50,5,13,32,0.1,0.26,0.64,0.410422,0
boys-dont-fly-a-childrens-picture-book-for-young-r,6,0,1,5,0,0.17,0.83,0.635133333,4
edgemere-farm-in-rockaway-beach-needs-your-help,0,0,0,0,0,0,0,0,0
wild-adventure-cookbook,13,0,0,13,0,0,1,0.797615385,0
rice-paper-scissors-from-pop-up-to-restaurant,7,0,2,5,0,0.29,0.71,0.637742857,0
cooking-with-dice-classic-rpg-with-a-delicious-twi,25,2,3,20,0.08,0.12,0.8,0.471864,25
sugar-hill-creamery,8,0,1,7,0,0.12,0.88,0.6919,0
dare-to-eat-natural-healthy-snacks-powered-by-inse,20,1,1,18,0.05,0.05,0.9,0.628875,0
sankofa-farms-agricultural-academy-a-van-for-hope,1,0,0,1,0,0,1,0.7312,0
willbros-salmon-co-spreading-wild-alaskan-salmon-l,6,2,0,4,0.33,0,0.67,0.549583333,0
the-sisterhood-of-blood-vol-i,50,2,9,39,0.04,0.18,0.78,0.519754,0
halfsies-dice-world-tour,50,9,6,35,0.18,0.12,0.7,0.37436,0
jonathin-quackup-issues-1-and-2,17,1,2,14,0.06,0.12,0.82,0.572564706,4
longmire-the-cinematic-picture-book,45,4,6,35,0.09,0.13,0.78,0.477368889,0
iconiq-qore-the-stackable-insulated-food-container,50,9,10,31,0.18,0.2,0.62,0.3498,0
drexler-issue-1,14,2,0,12,0.14,0,0.86,0.571357143,0
hexplore-it-the-valley-of-the-dead-king,47,8,12,27,0.17,0.26,0.57,0.284821277,3
the-lemonade-stand-cookbook-kid-tested-kid-empower,3,0,0,3,0,0,1,0.927966667,0
ecoqube-frame-best-vertical-garden,50,7,11,32,0.14,0.22,0.64,0.37482,0
faulty-apprentice-interactive-visual-novel,50,6,10,34,0.12,0.2,0.68,0.397478,0
herbert-grow-fresh-organic-food-at-home,50,11,15,24,0.22,0.3,0.48,0.160768,0
hobo-coins,40,2,5,33,0.05,0.12,0.82,0.62505,10
romantic-comedy-visual-novel-kachuna,44,6,13,25,0.14,0.3,0.57,0.285706818,0
gone-sci-fi-mystery-comic-1-digital-reboot-1-week,11,0,2,9,0,0.18,0.82,0.437072727,0
the-legend-of-everett-forge-issue-2,9,0,1,8,0,0.11,0.89,0.550888889,3
transdimensional-1-a-sci-fi-horror-tale,4,0,0,4,0,0,1,0.567575,0
shamans-destiny-vol-1-trade,2,0,1,1,0,0.5,0.5,0.445,0
alaska-bug-bites-llc-farmers-markets-launch,18,6,3,9,0.33,0.17,0.5,0.098627778,0
immanuel-god-with-us-the-comic-book,1,0,0,1,0,0,1,0.8386,0
house-of-wicked-creatures-an-indie-comic,37,1,2,34,0.03,0.05,0.92,0.649535135,13
the-supershow-the-takeover-unpredictable-wrestling,36,8,10,18,0.22,0.28,0.5,0.174205556,14
spinpal-dp-double-pendulum-desktop-physics-toy,50,10,5,35,0.2,0.1,0.7,0.305848,0
long-live-the-queen,50,7,9,34,0.14,0.18,0.68,0.311056,0
american-protest-a-broadside-portfolio,11,2,2,7,0.18,0.18,0.64,0.435609091,0
space-captain-issue-4,27,1,9,17,0.04,0.33,0.63,0.286644444,0
jail-bait-and-trailer-trash-a-mature-comic-book-gr,13,2,1,10,0.15,0.08,0.77,0.326492308,1
elder-dice-lovecraftian-themed-dice-for-all-tablet,42,8,8,26,0.19,0.19,0.62,0.323133333,8
the-human-beings-issue-one,4,0,1,3,0,0.25,0.75,0.652525,0
mapforge-battlemap-creation-software-for-tabletop,50,15,9,26,0.3,0.18,0.52,0.140846,0
brethren-born3-deceptions,4,1,0,3,0.25,0,0.75,0.315575,0
hyve-touch-synth-make-the-future-of-musical-expres,47,11,11,25,0.23,0.23,0.53,0.217674468,3
aviary-wine-and-kitchen,0,0,0,0,0,0,0,0,0
husband-and-husband-volume-1,28,1,8,19,0.04,0.29,0.68,0.514210714,0
the-pirate-republic-0,50,8,12,30,0.16,0.24,0.6,0.281084,0
identity-notes,14,3,3,8,0.21,0.21,0.57,0.258207143,0
scar-stories,2,0,0,2,0,0,1,0.4725,0
what-makes-you-special-childrens-book-by-britt-hal,3,0,1,2,0,0.33,0.67,0.651466667,0
ditko-now-and-then,8,0,1,7,0,0.12,0.88,0.731775,0
the-patchwork-circus-a-childrens-picture-book,7,0,0,7,0,0,1,0.825957143,0
don-quixote-playing-cards-vol2,50,20,11,19,0.4,0.22,0.38,0.012228,0
remember-the-alamo-drafthouse-kalamazoo,5,0,0,5,0,0,1,0.6891,4
you-are-the-hero-part-2,50,3,10,37,0.06,0.2,0.74,0.45155,0
all-walls-must-fall-a-tech-noir-tactics-game,50,10,8,32,0.2,0.16,0.64,0.351234,0
moondrop-fidget-desk-toy-displaying-gravity-on-the,50,8,14,28,0.16,0.28,0.56,0.319014,0
valthirian-arc-red-covenant-academy-for-heroes,50,3,16,31,0.06,0.32,0.62,0.405666,0
indigenous-knowledge-and-the-box-of-treasures,0,0,0,0,0,0,0,0,0
dragoon-the-rogue-and-barbarian-expansion-reprint,49,9,12,28,0.18,0.24,0.57,0.28367551,1
yoga-flexer-the-only-yoga-mat-turned-into-a-portab,12,4,3,5,0.33,0.25,0.42,0.136858333,13
candles-made-better-keaps-new-collection,19,0,4,15,0,0.21,0.79,0.624163158,0
badass-riders,50,22,9,19,0.44,0.18,0.38,0.006174,0
hidden-time-watch,50,2,7,41,0.04,0.14,0.82,0.470418,0
the-first-interchangeable-backpack-for-everyday-es,50,7,16,27,0.14,0.32,0.54,0.232584,0
hinice-the-1st-wearable-gem-necklace-and-bluetooth,50,18,3,29,0.36,0.06,0.58,0.230018,0
lion-duchy-and-black-lotus-fantasy-football-team,50,8,22,20,0.16,0.44,0.4,0.146382,0
creeping-flesh-dan-breretons-monster-girls-trading,50,15,11,24,0.3,0.22,0.48,0.162158,0
patience-1,3,1,0,2,0.33,0,0.67,0.426233333,0
the-historical-heroines-coloring-book-women-in-sci,0,0,0,0,0,0,0,0,0
enduro-toy-cars-built-for-tough-drivers,50,3,7,40,0.06,0.14,0.8,0.447376,0
00-cyborgs,21,0,3,18,0,0.14,0.86,0.579152381,5
reckless-deck-solving-the-problem-of-what-should-i,50,4,7,39,0.08,0.14,0.78,0.4269,0
worlds-thinnest-denim-watch-garibaldi,31,4,7,20,0.13,0.23,0.65,0.318387097,0
grant-featherston-book-australian-mid-century-desi,9,0,1,8,0,0.11,0.89,0.666011111,0
story-the-levitating-timepiece,50,9,16,25,0.18,0.32,0.5,0.2042,0
the-shadow-watchers-1,3,0,0,3,0,0,1,0.548366667,0
portraits-an-artbook-of-inspirational-progressives,13,3,5,5,0.23,0.38,0.38,0.042915385,0
feel-a-little-little-poems-about-big-feelings,17,0,2,15,0,0.12,0.88,0.691417647,0
pixelvar-smartphone-controlled-handheld-light-pain,50,14,13,23,0.28,0.26,0.46,0.105604,0
littlearm-big-a-robot-arm-for-makers-and-education,29,2,5,22,0.07,0.17,0.76,0.47817931,0
color-quest-season-1,50,3,5,42,0.06,0.1,0.84,0.532666,0
hardlight-vr-suit-dont-just-play-the-game-feel-it,50,22,7,21,0.44,0.14,0.42,-0.013966,0
necronomicards-vol-2-lovecraftian-card-game-expans,50,9,10,31,0.18,0.2,0.62,0.320314,0
blacksmith-miniatures-world-of-jean-baptiste-monge,50,10,8,32,0.2,0.16,0.64,0.28922,0
powers-of-the-earth-sf-with-spaceships-dogs-and-bi,8,1,2,5,0.12,0.25,0.62,0.2754375,0
the-iron-crows-and-other-dwarves-of-kazhuk-izril,50,8,7,35,0.16,0.14,0.7,0.406494,0
roch-team-unaq,0,0,0,0,0,0,0,0,0
common-ground-a-frontier-fantasy-story,9,1,0,8,0.11,0,0.89,0.558555556,0
spook-o-tron-a-halloween-themed-homebrew-game-for,25,2,4,19,0.08,0.16,0.76,0.456464,0
battle-princess-madelyn,50,5,13,32,0.1,0.26,0.64,0.29505,0
mokuru-the-amazing-desk-toy-that-you-can-take-anyw,50,8,9,33,0.16,0.18,0.66,0.37567,0
the-worlds-first-nanofiber-boxer-brief-manhattan-b,38,13,4,21,0.34,0.11,0.55,0.126360526,12
meanders-2-new-terrain-maps-for-rpg,50,1,15,34,0.02,0.3,0.68,0.421384,0
tiki,50,8,13,29,0.16,0.26,0.58,0.249426,0
sweets-candies-and-confections,9,0,1,8,0,0.11,0.89,0.719955556,4
wild-zora-meat-and-veggie-paleo-snack-bars-new-fla,4,0,0,4,0,0,1,0.8026,0
stop-thief-the-classic-1979-board-game-restored,50,10,12,28,0.2,0.24,0.56,0.214152,0
the-waypoint,31,3,5,23,0.1,0.16,0.74,0.565474194,0
esper-genesis-heroic-sci-fi-role-playing-for-5e,48,4,10,34,0.08,0.21,0.71,0.333089583,2
not-twins-new-ep-the-view-from-down-here,0,0,0,0,0,0,0,0,0
last-bottle-clothing-closed-loop-sustainable-appar,4,0,2,2,0,0.5,0.5,0.430425,1
on-the-off-chance-debut-album-on-vinyl,3,0,2,1,0,0.67,0.33,0.245033333,1
go-backpack-the-best-companion-to-help-you-catch-e,50,10,8,32,0.2,0.16,0.64,0.377644,0
billionaire-banshees-first-expansion,24,2,3,19,0.08,0.12,0.79,0.555970833,26
lorica-clothing-leggings-inspired-by-armor,32,3,5,24,0.09,0.16,0.75,0.528234375,18
noir-world,43,2,15,26,0.05,0.35,0.6,0.321827907,7
arcanis-5e-rpg,50,9,14,27,0.18,0.28,0.54,0.231544,0
the-most-rebellious-swiss-automatic-watch-ever-liv,50,4,6,40,0.08,0.12,0.8,0.545012,0
earth-spirit-grow-a-childrens-book,0,0,0,0,0,0,0,0,0
handcrafted-dress-shoes-reinvented-for-the-modern,50,5,4,41,0.1,0.08,0.82,0.432894,0
kingdom-builder-expansion-3-marshlands,50,14,6,30,0.28,0.12,0.6,0.246638,0
orboot-a-magical-augmented-reality-globe,50,9,5,36,0.18,0.1,0.72,0.427844,0
python-mini-degree-8-courses-to-learn-and-master-p,42,4,5,33,0.1,0.12,0.79,0.52337381,0
agility-with-allen-the-whole-caboodle-video-class,18,1,4,13,0.06,0.22,0.72,0.489811111,5
learn-5-best-mobile-development-frameworks,22,7,4,11,0.32,0.18,0.5,0.141709091,0
cognition-2-black-shuck,14,1,0,13,0.07,0,0.93,0.659714286,0
hva-som-helst,3,0,3,0,0,1,0,0,0
photographic-memoir-heart-dog-angel-in-disguise,20,1,4,15,0.05,0.2,0.75,0.566995,12
venture-party,50,9,5,36,0.18,0.1,0.72,0.376204,0
ayurvedic-copper-water-bottle,17,0,5,12,0,0.29,0.71,0.452841176,11
ella-a-new-american-coming-of-age-story-in-the-mid,4,0,0,4,0,0,1,0.89125,0
zetime-worlds-first-smartwatch-with-hands-over-tou,50,15,7,28,0.3,0.14,0.56,0.229808,0
archimedes-a-bipolar-cv-modulator-and-limiter-euro,11,3,5,3,0.27,0.45,0.27,0.101890909,1
goodnewspaper-a-printed-newspaper-full-of-good-new,38,5,5,28,0.13,0.13,0.74,0.462681579,6
foxshot-small-camera-water-resistant-polychrome-10,50,3,10,37,0.06,0.2,0.74,0.420666,0
iscream-smart-double-flavour-ice-cream-maker,9,1,2,6,0.11,0.22,0.67,0.2704,0
the-arthurian-playing-cards-inspired-by-king-arthu,50,7,14,29,0.14,0.28,0.58,0.28424,0
the-saga-of-the-iron-dragon-an-alternate-history-t,5,0,1,4,0,0.2,0.8,0.34174,0
xplotter-desktop-plotter-laser-cutter-and-engraver,50,15,13,22,0.3,0.26,0.44,0.122478,0
create-wide-angle-bubble-bokeh-trioplan-35-fine-ar,50,4,16,30,0.08,0.32,0.6,0.298226,0
playbulb-solar-revolutionizing-outdoor-lighting,50,7,9,34,0.14,0.18,0.68,0.291052,0
precision-caliper-modification,8,3,0,5,0.38,0,0.62,0.2343375,6
the-art-of-joseph-freistuhler,1,0,1,0,0,1,0,0,0
new-ted-leo-album,50,11,12,27,0.22,0.24,0.54,0.27293,0
sherlock-holmes-before-baker-street,3,0,1,2,0,0.33,0.67,0.367866667,1
lab-box-the-first-multi-format-daylight-loading-fi,50,12,10,28,0.24,0.2,0.56,0.26265,0
cyborgs-rewards,10,1,3,6,0.1,0.3,0.6,0.34492,4
plen-cube-the-portable-personal-assistant-robot,49,4,6,39,0.08,0.12,0.8,0.530432653,0
the-ollie-chair-shape-shifting-seating,50,5,6,39,0.1,0.12,0.78,0.508882,0
percy-the-pigeon,0,0,0,0,0,0,0,0,0
lo-fi-ses-hackable-8-bit-chiptunes-instrument,28,1,3,24,0.04,0.11,0.86,0.595439286,0
the-ergo-posture-transformer-perfect-posture-insta,50,14,6,30,0.28,0.12,0.6,0.141498,0
perfect-posture-instantly-with-the-worlds-best-bac,9,0,0,9,0,0,1,0.911655556,0
the-ridge-stand-plus,50,8,6,36,0.16,0.12,0.72,0.451216,0
vivistand-next-generation-sit-stand-desks,41,4,3,34,0.1,0.07,0.83,0.53537561,0
sugar-lagoon-enamel-pins,1,0,0,1,0,0,1,0.5972,0
scarlet-sails-new-album-future-from-the-past,20,2,2,16,0.1,0.1,0.8,0.550665,0
bring-back-shea-stadium,5,0,1,4,0,0.2,0.8,0.53682,0
fund-headphone-hairs-first-full-length-album,13,2,2,9,0.15,0.15,0.69,0.487892308,0
cognitive-dissonance,1,0,0,1,0,0,1,0.8999,1
spencer-and-rains-the-skeleton-keys,3,0,0,3,0,0,1,0.8257,0
dots-loops-2017,0,0,0,0,0,0,0,0,0
second-album-ep-hapalua-the-best-cover-songs-in-ha,0,0,0,0,0,0,0,0,0
60-years-of-jazz-the-monterey-jazz-festival-a-docu,8,0,3,5,0,0.38,0.62,0.5152625,0
slugs-and-bugs-two-sing-the-bible-cds,17,1,2,14,0.06,0.12,0.82,0.711911765,7
rawwood-shades-co-affordable-wooden-sunglasses,50,14,11,25,0.28,0.22,0.5,0.15254,0
brule-babilon-brule,0,0,0,0,0,0,0,0,0
this-is-ella,4,0,0,4,0,0,1,0.787075,0
pathfinder-dice-arena,50,12,5,33,0.24,0.1,0.66,0.339202,0
japanese-traditional-kimono-fabric-meets-hihaku-gl,31,2,2,27,0.06,0.06,0.87,0.6072,0
womens-march-childrens-book-cat-resists-and-protes,1,0,0,1,0,0,1,0.6688,0
living-across-the-rainforests,2,0,0,2,0,0,1,0.7238,0
sproutfit-adjustable-eco-friendly-childrenswear,6,0,0,6,0,0,1,0.795816667,0
innovation-blue-special-edition,31,7,3,21,0.23,0.1,0.68,0.375248387,4
castle-dukes-medieval-fun-in-3d,50,11,11,28,0.22,0.22,0.56,0.186552,0
floafers-foam-meets-fashion,50,10,15,25,0.2,0.3,0.5,0.232514,0
bit-bar-the-pocket-friendly-edc-screwdriver,50,7,3,40,0.14,0.06,0.8,0.510768,0
the-worlds-best-travel-pillow-9-features-packed-in,50,24,5,21,0.48,0.1,0.42,-0.030858,0
sustainable-capsule-collection-6-pieces-30-outfits,0,0,0,0,0,0,0,0,0
dat-ass-up,13,1,8,4,0.08,0.62,0.31,0.147669231,0
colton-venner-chasing-storms-ep,0,0,0,0,0,0,0,0,0
paladin-card-protectors-premium-sleeves-for-gamers,50,6,5,39,0.12,0.1,0.78,0.392674,0
